occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry,license,recordedBy,individualCount,year,month,day,gbifRegion,habitat,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,databaseName
https://www.inaturalist.org/observations/174754200,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023-07-09 19:11:39,,,43.746936,3.707078,,,3813568.34318316|2314385.5512113,CC_BY_NC_4_0,drine71,,2023,7,9,EUROPE,,FR,Languedoc-Roussillon,,,,"34380 Viols-le-Fort, France",,GBIF
https://www.inaturalist.org/observations/174763274,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/14 6:12 PM,,,44.489343,26.061558,,,5589967.70790485|2512480.49766854,CC_BY_NC_4_0,danamihaimileazachi,,2023,7,14,EUROPE,,RO,Bucharest,,,,"Dămăroaia, Bucharest, Romania",,GBIF
https://www.inaturalist.org/observations/174691371,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Female,,,,,,2023-07-24 17:06:55,,,45.519205,9.24979,,,4262299.4840493|2489938.68182589,CC_BY_NC_4_0,Matteo,,2023,7,24,EUROPE,,IT,Lombardia,,,,"Quartiere Adriano, Milano MI, Italia",,GBIF
https://www.inaturalist.org/observations/174346011,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/21 06:57,,,47.086322,11.467607,,,4432524.19307942|2664745.77756545,CC0_1_0,Wolfgang Bacher,,2023,7,21,EUROPE,,AT,Tirol,,,,"Innsbruck-Land, Österreich",,GBIF
https://www.inaturalist.org/observations/174345994,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023/07/19 13:45,,,47.086321,11.467605,,,4432524.04324795|2664745.66349354,CC0_1_0,Wolfgang Bacher,,2023,7,19,EUROPE,,AT,Tirol,,,,"Innsbruck-Land, Österreich",,GBIF
https://www.inaturalist.org/observations/174842162,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/25 13:08,,,43.651746,3.887302,,,3827253.75473598|2302659.24857001,CC_BY_NC_4_0,Régis Hocdé,,2023,7,25,EUROPE,,FR,Languedoc-Roussillon,,,,"Clapiers, France",,GBIF
https://www.inaturalist.org/observations/174346000,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",,,,,,,2023/07/20 11:39,,,47.086327,11.467612,,,4432524.56234098|2664746.34040401,CC0_1_0,Wolfgang Bacher,,2023,7,20,EUROPE,,AT,Tirol,,,,"Innsbruck-Land, Österreich",,GBIF
https://www.inaturalist.org/observations/174443068,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Female,,,,,,2023/07/23 18:12,,,33.475962,130.225748,,,10327456.6133523|8783507.96421504,CC_BY_NC_4_0,kohanabachi,,2023,7,23,ASIA,,JP,Fukuoka,,,,Japan,,GBIF
https://www.inaturalist.org/observations/174345976,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/19 13:29,,,47.086321,11.46761,,,4432524.42314368|2664745.67101454,CC0_1_0,Wolfgang Bacher,,2023,7,19,EUROPE,,AT,Tirol,,,,"Innsbruck-Land, Österreich",,GBIF
https://www.inaturalist.org/observations/174346017,iNaturalist research-grade observations,,"Megachile sculpturalis Smith, 1853",Male,,,,,,2023/07/21 10:54,,,47.08631,11.46759,,,4432522.92695556|2664744.41923207,CC0_1_0,Wolfgang Bacher,,2023,7,21,EUROPE,,AT,Tirol,,,,"Innsbruck-Land, Österreich",,GBIF
