occurrenceID,datasetName,datasetProvider,scientificName,sex,individualCountEnd,plantScientificName,endYear,endMonth,endDay,verbatimEventDate,startYear,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMetersEnd,manualGeoreferencing,geometry
DZ_bees_AU_RL_3394,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2020,7,30,30/07/2020,,Austria,48.181111,16.304722,200,provided,4789416.10254953|2805296.98863992
OOLAM_OZOBODAT_bees_RL_14381,Zobodat_Austria_2023,Esther Ockermueller,Heriades rubicola,F,5,,2020,7,31,20200731,,Austria,47.783333333333,16.866666666667,100,provided,4835029.0338272|2764969.33386916
DZ_bees_AU_RL_3393,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2020,8,11,11/08/2020,,Austria,48.181666,16.304722,200,provided,4789410.97236341|2805358.4908771
DZ_bees_AU_RL_3166,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2020,8,26,26/08/2020,,Austria,48.181388,16.307777,200,provided,4789639.88168983|2805347.07496371
DZ_bees_AU_RL_3167,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2021,7,27,27/07/2021,,Austria,48.181666,16.304722,200,provided,4789410.97236341|2805358.4908771
DZ_bees_AU_RL_3165,ZimmermannD_NHMW_2023,Dominique Zimmermann,Heriades rubicola,F,1,,2021,7,7,07/07/2021,,Austria,48.181666,16.304722,200,provided,4789410.97236341|2805358.4908771
AM_Osmiini_RL_3166,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1904,1,31,31/01/1904,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3139,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1904,1,8,08/01/1904,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3147,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1904,1,8,08/01/1904,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3149,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1904,1,8,08/01/1904,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3142,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1966,7,18,18.7.1966,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_14030,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1966,7,25,25.7.1966,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3141,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1966,7,25,25.7.1966,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_14021,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1966,,,?.7.1966,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3041,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1966,,,?.7.1966,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3140,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1967,5,31,31.5.1967,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3156,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,16,16.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3152,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,18,18.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3161,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,7,18,18.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3165,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,7,19,19.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3164,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,7,20,20.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3151,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,2,,1968,7,21,21.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3163,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1968,7,21,21.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3168,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,7,22,22.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3154,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,23,23.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3162,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1968,7,23,23.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3045,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,25,25/07/1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3157,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,25,25.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3046,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,26,26.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3167,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1968,7,26,26.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3158,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,7,31,31.7.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3155,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,8,1,1.8.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3153,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,8,2,2.8.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3170,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,8,2,02/08/1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3047,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,8,3,3.8.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3169,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1968,8,3,3.8.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3159,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,6,,1968,8,31,1.-31.8.1968,1968,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3171,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,8,8,08/08/1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_14031,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,4,,1968,,,00.08.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3146,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1968,,,00.08.1968,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3143,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1969,6,30,1.-30.6.1969,1969,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3148,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1970,6,1,01/06/1970,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_14023,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1970,8,12,6.-12.8.1970,1970,Bulgaria,42.11995,27.90033,,not_provided,5790702.86982724|2288617.61695764
AM_Osmiini_RL_3048,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,9,,1970,8,12,6.-12.8.1970,1970,Bulgaria,42.11995,27.90033,,not_provided,5790702.86982724|2288617.61695764
AM_Osmiini_RL_3049,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,6,,1970,8,12,6.-12.8.1970,1970,Bulgaria,42.11995,27.90033,,not_provided,5790702.86982724|2288617.61695764
AM_Osmiini_RL_3160,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1970,8,16,16.8.1970,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3150,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1970,8,17,17.8.18970,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3172,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1970,8,17,17/08/1970,,Bulgaria,42.68827,27.71387,,not_provided,5761985.08580075|2346626.75501093
AM_Osmiini_RL_3133,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1970,8,31,1.-31.8.1970,1970,Bulgaria,42.66013,27.72056,,not_provided,5763200.24321459|2343703.04883887
AM_Osmiini_RL_3040,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1979,5,18,18.5.1979,,Bulgaria,41.56783,23.28036,,not_provided,5426608.94127883|2149313.05487767
AM_Osmiini_RL_3043,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1982,6,28,28/06/1982,,Bulgaria,42.66014,27.72056,,not_provided,5763200.00072763|2343704.13356276
AM_Osmiini_RL_3134,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1982,6,29,29.6.1982,,Bulgaria,42.66013,27.72056,,not_provided,5763200.24321459|2343703.04883887
AM_Osmiini_RL_3173,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1993,8,13,13/08/1993,,Bulgaria,41.5246,23.3915,,not_provided,5436534.63647383|2146221.9785846
AM_Osmiini_RL_3174,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,5,,1993,8,13,13/08/1993,,Bulgaria,41.73819,23.23084,,not_provided,5419481.68222108|2167226.68092093
AM_Osmiini_RL_3175,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1993,8,14,14/08/1993,,Bulgaria,41.73819,23.23084,,not_provided,5419481.68222108|2167226.68092093
AM_Osmiini_RL_3185,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1993,8,14,14.8.1993,,Bulgaria,41.74002,23.23054,,not_provided,5419424.23857665|2167422.53341761
AM_Osmiini_RL_3186,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1993,8,14,14.8.1993,,Bulgaria,41.74002,23.23054,,not_provided,5419424.23857665|2167422.53341761
AM_Osmiini_RL_3176,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,2,,1996,7,20,20/07/1996,,Bulgaria,42.1354,24.74529,,not_provided,5535535.96590123|2233912.30991613
AM_Osmiini_RL_3177,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1996,8,15,15/08/1996,,Bulgaria,42.1243,24.68905,,not_provided,5531192.61804427|2231793.80690642
AM_Osmiini_RL_3144,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,6,5,05/06/1997,,Bulgaria,43.27125,26.93612,,not_provided,5686400.97560901|2395349.90024589
AM_Osmiini_RL_3145,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1997,6,6,06/06/1997,,Bulgaria,43.27125,26.93612,,not_provided,5686400.97560901|2395349.90024589
AM_Osmiini_RL_3135,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1997,7,1,01/07/1997,,Bulgaria,42.1354,24.74529,,not_provided,5535535.96590123|2233912.30991613
AM_Osmiini_RL_3138,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,7,1,01/07/1997,,Bulgaria,42.1354,24.74529,,not_provided,5535535.96590123|2233912.30991613
AM_Osmiini_RL_3178,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,7,10,10/07/1997,,Bulgaria,42.1243,24.68905,,not_provided,5531192.61804427|2231793.80690642
AM_Osmiini_RL_3181,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,7,20,"20,7.97",,Bulgaria,42.23112,24.72434,,not_provided,5531915.15751306|2244021.62657371
AM_Osmiini_RL_3136,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,1997,7,5,05/07/1997,,Bulgaria,42.1354,24.74529,,not_provided,5535535.96590123|2233912.30991613
AM_Osmiini_RL_3137,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1997,7,5,05/07/1997,,Bulgaria,42.1354,24.74529,,not_provided,5535535.96590123|2233912.30991613
AM_Osmiini_RL_3179,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,8,15,15/08/1997,,Bulgaria,42.1243,24.68905,,not_provided,5531192.61804427|2231793.80690642
AM_Osmiini_RL_3180,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,8,20,20/08/1997,,Bulgaria,42.23112,24.72434,,not_provided,5531915.15751306|2244021.62657371
AM_Osmiini_RL_3182,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,9,5,05/09/1997,,Bulgaria,42.23112,24.72434,,not_provided,5531915.15751306|2244021.62657371
AM_Osmiini_RL_3183,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1997,9,5,05/09/1997,,Bulgaria,41.85791,25.54672,,not_provided,5606369.69240016|2216974.96723578
AM_Osmiini_RL_3184,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1997,9,5,05/09/1997,,Bulgaria,41.85791,25.54672,,not_provided,5606369.69240016|2216974.96723578
AM_Osmiini_RL_3044,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,2008,6,16,16.6.2008,,Bulgaria,42.21666,27.78333,,provided,5778962.14407133|2296820.51065351
AM_Osmiini_RL_14022,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,2,,2008,6,18,18.6.2008,,Bulgaria,42.18333,27.8,,provided,5781106.981104|2293530.53617584
AM_Osmiini_RL_3042,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,2008,6,18,18.6.2008,,Bulgaria,42.18333,27.8,,provided,5781106.981104|2293530.53617584
AM_Osmiini_RL_3037,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,2008,6,19,19.6.2008,,Bulgaria,42.11244,26.50278,,provided,5678313.81687813|2261489.04923613
AM_Osmiini_RL_3274,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1904,1,7,07/01/1904,,Croatia,43.2938,17.02139,,not_provided,4891404.55916803|2269550.09863132
AM_Osmiini_RL_14055,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,3,,1966,7,18,18/07/1966,,Croatia,44.06375,15.20636,,not_provided,4738691.4204537|2342720.75532363
AM_Osmiini_RL_3365,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1966,7,18,18/07/1966,,Croatia,44.06375,15.20636,,not_provided,4738691.4204537|2342720.75532363
AM_Osmiini_RL_3366,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,3,,1966,7,18,18.7.1966,,Croatia,44.06375,15.20636,,not_provided,4738691.4204537|2342720.75532363
AM_Osmiini_RL_3283,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,2,,1966,7,31,1.-31.7.1966,1966,Croatia,43.05328,17.64934,,not_provided,4944769.25037865|2247990.23868296
AM_Osmiini_RL_3114,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1966,,,`08.1966,,Croatia,43.05327,17.64932,,not_provided,4944767.73146209|2247988.96914048
AM_Osmiini_RL_3284,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1966,,,00.07.1966,,Croatia,43.05631,17.43102,,not_provided,4927002.04119891|2246537.9039322
PR_Megachilidae_RL_37613,BDFGM_Megachilidae_2023,Pierre Rasmont,Heriades rubicola,F,1,,1969,7,25,19690725,1969,Croatia,43.38417,16.55083,,provided,4852471.02743321|2276079.35317578
ULB_RL_1214458,MarshallL_ULBSTEPPlus_2023,ULB,Heriades rubicola,,1,,1969,,,19690000,,Croatia,43.38417,16.55083,,provided,4852471.02743321|2276079.35317578
AM_Osmiini_RL_3272,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1973,6,30,8.-30.6.1973,1973,Croatia,44.9711,14.75007,,not_provided,4696083.6620515|2440759.75002781
AM_Osmiini_RL_3039,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1984,7,7,07/07/1984,,Croatia,44.97106,14.7522,,not_provided,4696251.86492438|2440766.02143267
AM_Osmiini_RL_3038,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1986,6,10,10/06/1986,,Croatia,44.9711,14.75007,,not_provided,4696083.6620515|2440759.75002781
ADD_BDT_2070,ADD_PULSE_2024,Andrej Gogala,Heriades rubicola,F,1,,1991,8,24,,,Croatia,45.452226,13.66134,,not_provided,4607706.11921986|2489251.2272161
AM_Osmiini_RL_3286,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3287,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3288,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3289,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3290,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3291,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3292,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3293,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3294,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3295,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3296,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,11,11/08/1994,,Croatia,45.08117,13.6387,,not_provided,4607850.31660287|2448029.90785914
AM_Osmiini_RL_3297,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1994,8,12,12/08/1994,,Croatia,44.78304,13.91089,,not_provided,4630933.85287603|2416076.78090899
AM_Osmiini_RL_14044,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,1998,8,27,25.-27.8.1998,1998,Croatia,44.95607,13.83843,,not_provided,4624259.48576351|2434953.77822195
AM_Osmiini_RL_3279,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,1998,8,27,25.-27.8.1998,1998,Croatia,44.95607,13.83843,,not_provided,4624259.48576351|2434953.77822195
AM_Osmiini_RL_3281,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,2000,6,16,16.6.2000,,Croatia,43.15605,17.24632,,not_provided,4910994.95025551|2256077.71401894
AM_Osmiini_RL_14043,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,M,1,,2001,6,10,10/06/2001,,Croatia,44.83041,14.73089,,not_provided,4695511.48733206|2425080.52868098
AM_Osmiini_RL_3275,MullerA_Osmiini_2023,Andreas Muller,Heriades rubicola,F,1,,2001,6,10,10/06/2001,,Croatia,44.83041,14.73089,,not_provided,4695511.48733206|2425080.52868098
